,省/市,2017,2016,2015,2014,2013,2012,2011
0,河南,86.3,82,77.2,72.4,71.63,80.5,69.2
1,广东,75.7,73.3,75.4,75.6,72.7,69.2,65.5
2,山东,58.3,60.2,69.61,55.8,50,51,58.7
3,四川,58.3,57.13,57,57.17,54,53.8,51.4
4,安徽,49.9,50.99,54.6,52.7,51.1,50.6,54
5,河北,43.6,42.31,40.48,41.82,44.98,45.93,48.5
6,贵州,41.2,37.38,33.05,29.27,24.78,24.8,24.31
7,湖南,41.1,40.16,38.99,37.8,37.3,35.2,37.2
8,广西,36.5,33,31,31.5,29.8,28.5,29.2
9,江西,36.5,36.06,35.46,32.59,27.43,26.9,28.86
10,湖北,36.2,36.14,36.84,40.27,43.8,45.7,48.47
11,江苏,33,36.04,39.29,42.57,45.1,47.4,50
12,陕西,31.9,32.8,34.4,35.3,36.65,37.53,38.39
13,山西,31.7,33.9,34.22,34.16,35.8,36.1,33.9
14,云南,29.3,28,27.21,25.59,23.6,21,23
15,浙江,29.1,30.74,31.79,30.86,31.3,31.6,30
16,甘肃,28.5,29.6,30.38,29.7,28.3,29.6,29.7
17,重庆,21.1,24.88,25.54,25.06,23.5,23,21.64
18,辽宁,20.8,21.82,22.51,23.9,25.4,25.6,24.5
19,内蒙古,19.8,20.11,18.4,18.8,19.3,18.95,20.56
20,福建,18.8,17.5,18.93,25.5,25.5,25,26.70
21,黑龙江,18.8,19.7,19.8,20.4,20.8,21,20.8
22,新疆,18.4,16.61,16.05,16.26,15.87,15.47,14.77
23,吉林,14.3,14.85,13.76,16.02,15.9,16.2,16.5
24,宁夏,6.9,6.9,6.7,6.4,5.87,6.02,6.01
25,北京,6,6.12,6.8,7.05,7.27,7.3,7.6
26,海南,5.7,6.04,6.2,6.1,5.6,5.5,5.4
27,天津,5.7,6,6.1,6,6.3,6.4,6.46
28,上海,5,5.1,5.1,5.2,5.3,5.5,6.1
29,青海,4.6,4.5,4.2,3.97,4.06,3.8,4.06
30,西藏,2.8,2.4,2.1,1.96,1.89,1.9,1.8
